subclass,zoning,frontage,area,street,alley,shape,contour,utilities,config,slope,neighborhood,cond1,cond2,type,style,qual,cond,built,remo,roof_s,roof_m,ext1,ext2,veneer_t,veneer_a,ext_q,ext_c,foundation,bsmt_q,bsmt_c,bsmt_e,bsmt_t1,bsmt_sf1,bsmt_t2,bsmt_sft,heat,heat_qc,cent_air,electrical,1f_sf,2f_sf,grla_sf,bsmt_fullb,full_b,half_b,bed_abvgr,kit_qual,tot_room_abv,functional,fireplaces,garage_t,garage_fin,garage_cars,garage_a,garage_q,garage_c,paved_dr,wood_dk_sf,open_porch_sf,enclosed_porch,screen porch,pool_sq,month,sale_t,saleprice
160,RM,21.0,1680,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,483.0,GasA,TA,Y,SBrkr,483,504,987,0.0,1,1,2,TA,4,Typ,0,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,7,COD,85400
20,RL,64.0,7488,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,1208.0,GasA,Ex,Y,SBrkr,1208,0,1208,0.0,2,0,2,Gd,6,Typ,0,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,2,WD ,183600
160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,960.0,GasA,Ex,Y,SBrkr,962,645,1607,1.0,2,1,3,Gd,7,Typ,0,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,12,ConLD,200000
20,RL,74.0,9627,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,1351.0,GasA,Ex,Y,SBrkr,1361,0,1361,0.0,2,0,3,Gd,6,Typ,0,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,6,WD ,193000
20,RL,93.0,10114,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,0,1430,0.0,2,0,3,Gd,7,Typ,0,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,3,WD ,173500
70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,GasA,Fa,N,SBrkr,624,720,1344,0.0,1,0,4,TA,7,Typ,0,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,5,COD,98000
20,RL,80.0,8816,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,1121.0,GasA,TA,Y,SBrkr,1121,0,1121,1.0,1,0,3,TA,5,Typ,0,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,6,WD ,139000
20,RL,71.0,8197,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,GasA,Ex,Y,SBrkr,1285,0,1285,0.0,1,1,3,TA,7,Typ,1,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,4,WD ,143500
60,FV,72.0,8640,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,756.0,GasA,Ex,Y,SBrkr,764,783,1547,0.0,2,1,3,Gd,7,Typ,0,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,6,Con,215200
20,RL,109.0,8724,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,894.0,GasA,Gd,Y,SBrkr,894,0,894,0.0,1,0,3,TA,5,Typ,1,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,5,WD ,129000
120,RL,40.0,5664,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,1501.0,GasA,Ex,Y,SBrkr,1659,0,1659,1.0,2,0,2,Ex,5,Typ,1,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,10,WD ,278000
20,RL,0.0,7980,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,0,1187,1.0,2,0,3,TA,6,Typ,0,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,3,WD ,185000
190,RL,100.0,34650,Pave,0,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,1056.0,GasA,TA,N,SBrkr,1056,0,1056,1.0,1,0,3,TA,5,Typ,0,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,1,WD ,145000
20,RL,92.0,10573,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,1453.0,GasA,Ex,Y,SBrkr,1453,0,1453,1.0,2,0,3,TA,6,Typ,1,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,0,288,0,4,WD ,187500
20,RL,65.0,8450,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,894.0,GasA,Ex,Y,SBrkr,894,0,894,1.0,1,0,3,TA,5,Typ,1,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,4,WD ,138500
50,RL,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,942.0,GasA,Ex,Y,SBrkr,1265,673,1938,0.0,2,0,4,Gd,7,Min2,1,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,7,WD ,198000
50,RL,60.0,8064,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,GasA,Ex,Y,SBrkr,672,252,924,0.0,1,0,3,TA,6,Typ,1,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,7,WD ,122900
20,RL,80.0,9600,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,2524.0,GasA,TA,Y,SBrkr,2524,0,2524,1.0,2,1,4,Gd,9,Typ,1,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,7,WD ,278000
70,RL,0.0,11435,Pave,0,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,GasA,Fa,Y,SBrkr,792,725,1517,0.0,1,0,3,Gd,7,Typ,2,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,6,WD ,230000
120,RL,30.0,9549,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1494.0,GasA,Ex,Y,SBrkr,1494,0,1494,1.0,1,1,2,Ex,6,Typ,1,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,0,216,0,4,WD ,270000
20,RL,60.0,10950,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,948.0,GasA,TA,Y,SBrkr,948,0,948,0.0,1,0,2,TA,5,Typ,0,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,4,WD ,125000
20,RL,79.0,10637,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,1705.0,GasA,Ex,Y,SBrkr,1718,0,1718,1.0,2,0,3,Gd,7,Typ,1,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,9,WD ,297000
20,RL,80.0,9000,Pave,0,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,GasA,Fa,Y,SBrkr,1142,0,1142,0.0,1,0,2,TA,5,Typ,1,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,4,WD ,113500
160,RM,41.0,2665,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,757.0,GasA,Ex,Y,SBrkr,925,550,1475,0.0,2,0,4,TA,6,Typ,1,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,7,WD ,127000
20,RL,105.0,11751,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,0,1844,0.0,2,0,3,TA,7,Typ,1,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,1,COD,190000
20,RL,80.0,9600,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,1242.0,GasA,Fa,Y,SBrkr,1242,0,1242,0.0,1,1,3,TA,6,Typ,1,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,9,WD ,175500
20,RL,60.0,8428,Pave,0,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,990.0,GasA,Ex,Y,SBrkr,990,0,990,1.0,1,0,3,TA,5,Typ,0,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,7,WD ,146000
20,RL,75.0,9937,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,1256.0,GasA,Gd,Y,SBrkr,1256,0,1256,1.0,1,1,3,TA,6,Typ,0,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,6,WD ,147500
85,RL,0.0,9101,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,1097.0,GasA,Ex,Y,SBrkr,1110,0,1110,1.0,1,0,1,Gd,4,Typ,1,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,7,WD ,165500
50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,GasA,Ex,N,FuseF,1050,745,1795,0.0,2,0,4,TA,7,Typ,0,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,11,WD ,131500
20,RL,70.0,11200,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,1040.0,GasA,Ex,Y,SBrkr,1040,0,1040,1.0,1,0,3,TA,5,Typ,0,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,2,WD ,129500
70,RL,100.0,9670,Pave,0,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,608.0,GasA,TA,Y,SBrkr,983,890,1873,0.0,1,1,4,TA,9,Typ,2,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,6,WD ,257076
50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,984.0,GasA,Ex,Y,SBrkr,984,620,1604,0.0,2,0,3,TA,6,Min2,0,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,7,WD ,117000
70,RL,60.0,7200,Pave,0,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,GasA,TA,Y,SBrkr,851,651,1502,0.0,1,1,3,TA,6,Typ,1,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,112,0,0,2,WD ,149000
20,RL,80.0,9920,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,1056.0,GasA,TA,Y,SBrkr,1063,0,1063,1.0,1,0,3,TA,6,Typ,0,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,164,0,0,2,WD ,128000
160,RL,36.0,2448,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764,862,1626,0.0,2,1,2,Gd,6,Typ,0,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,0,0,0,10,WD ,155000
160,FV,0.0,2998,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,756.0,GasA,Ex,Y,SBrkr,768,756,1524,0.0,2,1,2,Gd,4,Typ,0,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,6,WD ,166000
50,RL,65.0,7804,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,1122.0,GasA,TA,Y,SBrkr,1328,653,1981,1.0,2,0,4,Gd,7,Min2,2,Detchd,Unf,2.0,576.0,TA,TA,Y,431,44,0,0,0,12,WD ,135000
60,RL,80.0,16692,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,1392.0,GasA,TA,Y,SBrkr,1392,1392,2784,1.0,3,1,5,Gd,12,Typ,2,Attchd,RFn,2.0,564.0,TA,TA,Y,0,112,0,440,519,7,WD ,250000
20,RL,75.0,10170,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,216.0,GasA,TA,Y,SBrkr,1575,0,1575,0.0,1,1,2,Gd,5,Typ,1,Attchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,6,WD ,155000
60,RL,80.0,9364,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,663.0,GasA,TA,Y,SBrkr,663,689,1352,0.0,1,1,4,TA,7,Typ,0,Attchd,Fin,1.0,299.0,TA,TA,Y,379,36,0,0,0,3,WD ,158000
160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,600.0,GasA,Ex,Y,SBrkr,600,600,1200,1.0,2,1,2,Gd,4,Typ,0,Detchd,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,2,WD ,149500
20,RL,82.0,9888,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,Unf,936.0,GasA,TA,Y,FuseA,936,0,936,0.0,1,0,2,TA,5,Typ,0,Attchd,Unf,1.0,240.0,TA,TA,Y,0,0,160,0,0,3,WD ,121000
20,RL,68.0,7942,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,85.0,ALQ,1040.0,GasA,TA,Y,FuseF,1040,0,1040,0.0,1,0,3,TA,6,Typ,0,Attchd,Fin,1.0,293.0,TA,TA,Y,0,0,0,0,0,6,WD ,136000
60,RL,0.0,15038,Pave,0,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,916.0,GasA,Gd,Y,SBrkr,916,720,1636,0.0,2,1,3,TA,7,Typ,1,Attchd,Fin,2.0,386.0,TA,TA,Y,168,84,0,0,0,11,WD ,173000
60,RL,92.0,11764,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,1152.0,GasA,Ex,Y,SBrkr,1164,1106,2270,0.0,2,1,4,Gd,9,Typ,1,Attchd,Fin,3.0,671.0,TA,TA,Y,132,57,0,0,0,4,WD ,290000
60,FV,75.0,9000,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,64.0,Unf,1184.0,GasA,Ex,Y,SBrkr,1184,1426,2610,0.0,2,1,4,Ex,11,Typ,1,BuiltIn,Fin,2.0,550.0,TA,TA,Y,208,364,0,0,0,8,New,303477
